name,type,start_time,duration,"mosi","miso"
"SPI","enable",0.121210942,0.000000001,,
"SPI","result",0.121366679,0.000848122,0xFE,0x47
"SPI","disable",0.122247168,0.000000001,,
"SPI","enable",0.12232781,0.000000001,,
"SPI","result",0.122500207,0.000848121,0xB8,0x01
"SPI","disable",0.123382132,0.000000001,,
"SPI","enable",0.123469432,0.000000001,,
"SPI","result",0.123633734,0.000848122,0xB8,0x8B
"SPI","disable",0.124523759,0.000000001,,
"SPI","enable",0.12460821,0.000000001,,
"SPI","result",0.124767268,0.000848114,0x74,0x87
"SPI","disable",0.125644443,0.000000001,,
"SPI","enable",0.22231393,0.000000001,,
"SPI","result",0.222477381,0.000848122,0xFE,0x47
"SPI","disable",0.223368253,0.000000001,,
"SPI","enable",0.223448881,0.000000001,,
"SPI","result",0.223610907,0.000848122,0xB8,0x01
"SPI","disable",0.224485107,0.000000001,,
"SPI","enable",0.224572427,0.000000001,,
"SPI","result",0.224744439,0.000848118,0xB8,0x8B
"SPI","disable",0.225626746,0.000000001,,
"SPI","enable",0.225711202,0.000000001,,
"SPI","result",0.225877967,0.000848118,0x74,0x87
"SPI","disable",0.226765518,0.000000001,,
"SPI","enable",0.323435006,0.000000001,,
"SPI","result",0.323588082,0.000848122,0xFE,0x47
"SPI","disable",0.324471241,0.000000001,,
"SPI","enable",0.324551877,0.000000001,,
"SPI","result",0.324721607,0.000848125,0xB8,0x01
"SPI","disable",0.325606207,0.000000001,,
"SPI","enable",0.325693501,0.000000001,,
"SPI","result",0.325855134,0.000848124,0xB8,0x8B
"SPI","disable",0.326729734,0.000000001,,
"SPI","enable",0.326814187,0.000000001,,
"SPI","result",0.32698867,0.000848116,0x74,0x87
"SPI","disable",0.327868493,0.000000001,,
"SPI","enable",0.424537997,0.000000001,,
"SPI","result",0.424698651,0.00084812,0xFE,0x47
"SPI","disable",0.425574212,0.000000001,,
"SPI","enable",0.425654862,0.000000001,,
"SPI","result",0.425832174,0.000848123,0xB8,0x01
"SPI","disable",0.42670919,0.000000001,,
"SPI","enable",0.426796493,0.000000001,,
"SPI","result",0.426965697,0.000848128,0xB8,0x8B
"SPI","disable",0.427850812,0.000000001,,
"SPI","enable",0.427935264,0.000000001,,
"SPI","result",0.428099235,0.000848117,0x74,0x87
"SPI","disable",0.428989577,0.000000001,,
"SPI","enable",0.525674312,0.000000001,,
"SPI","result",0.525809347,0.000848123,0xFE,0x47
"SPI","disable",0.526692433,0.000000001,,
"SPI","enable",0.526773089,0.000000001,,
"SPI","result",0.526942874,0.000848122,0xB8,0x01
"SPI","disable",0.527827402,0.000000001,,
"SPI","enable",0.527914718,0.000000001,,
"SPI","result",0.5280764,0.000848124,0xB8,0x8B
"SPI","disable",0.528950944,0.000000001,,
"SPI","enable",0.529035393,0.000000001,,
"SPI","result",0.529209932,0.000848119,0x74,0x87
"SPI","disable",0.530089708,0.000000001,,
"SPI","enable",0.626737307,0.000000001,,
"SPI","result",0.62692005,0.000848122,0xFE,0x47
"SPI","disable",0.627809711,0.000000001,,
"SPI","enable",0.627890352,0.000000001,,
"SPI","result",0.628053576,0.000848123,0xB8,0x01
"SPI","disable",0.628944672,0.000000001,,
"SPI","enable",0.629031988,0.000000001,,
"SPI","result",0.629187102,0.000848125,0xB8,0x8B
"SPI","disable",0.630068215,0.000000001,,
"SPI","enable",0.630152664,0.000000001,,
"SPI","result",0.630320637,0.000848117,0x74,0x87
"SPI","disable",0.631206985,0.000000001,,
"SPI","enable",0.727875527,0.000000001,,
"SPI","result",0.728030757,0.000848122,0xFE,0x47
"SPI","disable",0.728911749,0.000000001,,
"SPI","enable",0.728992387,0.000000001,,
"SPI","result",0.729164281,0.000848124,0xB8,0x01
"SPI","disable",0.730915075,0.000000001,,
"SPI","enable",0.731002381,0.000000001,,
"SPI","result",0.731204633,0.000848122,0xB8,0x8B
"SPI","disable",0.732092892,0.000000001,,
"SPI","enable",0.73217733,0.000000001,,
"SPI","result",0.732338167,0.000848116,0x74,0x87
"SPI","disable",0.733213538,0.000000001,,
"SPI","enable",0.829897337,0.000000001,,
"SPI","result",0.830048283,0.000848121,0xFE,0x47
"SPI","disable",0.830933563,0.000000001,,
"SPI","enable",0.831014202,0.000000001,,
"SPI","result",0.831181808,0.000848123,0xB8,0x01
"SPI","disable",0.832068521,0.000000001,,
"SPI","enable",0.832155828,0.000000001,,
"SPI","result",0.832315337,0.000848122,0xB8,0x8B
"SPI","disable",0.833192063,0.000000001,,
"SPI","enable",0.833276508,0.000000001,,
"SPI","result",0.833448869,0.000848117,0x74,0x87
"SPI","disable",0.834488887,0.000000001,,
"SPI","enable",0.931881059,0.000000001,,
"SPI","result",0.932065796,0.000848114,0xFE,0x47
"SPI","disable",0.932953472,0.000000001,,
"SPI","enable",0.933034109,0.000000001,,
"SPI","result",0.933199308,0.000848122,0xB8,0x01
"SPI","disable",0.934088416,0.000000001,,
"SPI","enable",0.934175742,0.000000001,,
