name,type,start_time,duration,"mosi","miso"
"SPI","enable",0.0564088,0.00000016,,
"SPI","result",0.05656736,0.0008488,0x47,0xFE
"SPI","disable",0.0574416,0.00000016,,
"SPI","enable",0.05752544,0.00000016,,
"SPI","result",0.05770096,0.00084864,0x01,0xB8
"SPI","disable",0.05857648,0.00000016,,
"SPI","enable",0.05866704,0.00000016,,
"SPI","result",0.05883456,0.00084864,0x8B,0xB8
"SPI","disable",0.05971792,0.00000016,,
"SPI","enable",0.05980576,0.00000016,,
"SPI","result",0.059968,0.0008488,0x87,0x74
"SPI","disable",0.06085664,0.00000016,,
"SPI","enable",0.15752064,0.00000016,,
"SPI","result",0.15768144,0.00084864,0x47,0xFE
"SPI","disable",0.15857152,0.00000016,,
"SPI","enable",0.15865552,0.00000016,,
"SPI","result",0.15881488,0.0008488,0x01,0xB8
"SPI","disable",0.15968832,0.00000016,,
"SPI","enable",0.15977888,0.00000016,,
"SPI","result",0.15994848,0.0008488,0x8B,0xB8
"SPI","disable",0.16082992,0.00000016,,
"SPI","enable",0.1609176,0.00000016,,
"SPI","result",0.16108208,0.00084864,0x87,0x74
"SPI","disable",0.16196848,0.00000016,,
"SPI","enable",0.25863248,0.00000016,,
"SPI","result",0.25879536,0.0008488,0x47,0xFE
"SPI","disable",0.25968352,0.00000016,,
"SPI","enable",0.25976736,0.00000016,,
"SPI","result",0.25992896,0.00084864,0x01,0xB8
"SPI","disable",0.26081824,0.00000016,,
"SPI","enable",0.2609088,0.00000016,,
"SPI","result",0.26117584,0.0008488,0x8B,0xB8
"SPI","disable",0.26205024,0.00000016,,
"SPI","enable",0.26213792,0.00000016,,
"SPI","result",0.26230944,0.00084864,0x87,0x74
"SPI","disable",0.26318896,0.00000016,,
"SPI","enable",0.35985296,0.00000016,,
"SPI","result",0.36002256,0.0008488,0x47,0xFE
"SPI","disable",0.36090384,0.00000016,,
"SPI","enable",0.36098784,0.00000016,,
"SPI","result",0.36115616,0.00084864,0x01,0xB8
"SPI","disable",0.36203872,0.00000016,,
"SPI","enable",0.36212928,0.00000016,,
"SPI","result",0.36228976,0.00084864,0x8B,0xB8
"SPI","disable",0.36318016,0.00000016,,
"SPI","enable",0.363268,0.00000016,,
"SPI","result",0.3634232,0.0008488,0x87,0x74
"SPI","disable",0.3643008,0.00000016,,
"SPI","enable",0.4609648,0.00000016,,
"SPI","result",0.46113664,0.00084864,0x47,0xFE
"SPI","disable",0.46201568,0.00000016,,
"SPI","enable",0.46209968,0.00000016,,
"SPI","result",0.46227008,0.0008488,0x01,0xB8
"SPI","disable",0.46315056,0.00000016,,
"SPI","enable",0.46324112,0.00000016,,
"SPI","result",0.46340368,0.0008488,0x8B,0xB8
"SPI","disable",0.46429216,0.00000016,,
"SPI","enable",0.46437984,0.00000016,,
"SPI","result",0.46453728,0.00084864,0x87,0x74
"SPI","disable",0.46541264,0.00000016,,
"SPI","enable",0.5620928,0.00000016,,
"SPI","result",0.56225056,0.0008488,0x47,0xFE
"SPI","disable",0.56312576,0.00000016,,
"SPI","enable",0.5632096,0.00000016,,
"SPI","result",0.56338416,0.00084864,0x01,0xB8
"SPI","disable",0.56426064,0.00000016,,
"SPI","enable",0.5643512,0.00000016,,
"SPI","result",0.56451776,0.00084864,0x8B,0xB8
"SPI","disable",0.56540208,0.00000016,,
"SPI","enable",0.56548976,0.00000016,,
"SPI","result",0.5656512,0.0008488,0x87,0x74
"SPI","disable",0.5665408,0.00000016,,
"SPI","enable",0.66317232,0.00000016,,
"SPI","result",0.66336464,0.00084864,0x47,0xFE
"SPI","disable",0.66424144,0.00000016,,
"SPI","enable",0.66432528,0.00000016,,
"SPI","result",0.66449808,0.0008488,0x01,0xB8
"SPI","disable",0.66572368,0.00000016,,
"SPI","enable",0.66581424,0.00000016,,
"SPI","result",0.66597184,0.00084864,0x8B,0xB8
"SPI","disable",0.6668472,0.00000016,,
"SPI","enable",0.66693488,0.00000016,,
"SPI","result",0.66710528,0.0008488,0x87,0x74
"SPI","disable",0.66798592,0.00000016,,
"SPI","enable",0.76465072,0.00000016,,
"SPI","result",0.76481872,0.00084864,0x47,0xFE
"SPI","disable",0.76570176,0.00000016,,
"SPI","enable",0.7657856,0.00000016,,
"SPI","result",0.76595216,0.0008488,0x01,0xB8
"SPI","disable",0.76705648,0.00000016,,
"SPI","enable",0.76714704,0.00000016,,
"SPI","result",0.76731248,0.0008488,0x8B,0xB8
"SPI","disable",0.76819808,0.00000016,,
"SPI","enable",0.76828576,0.00000016,,
"SPI","result",0.76844608,0.00084864,0x87,0x74
"SPI","disable",0.76933664,0.00000016,,
"SPI","enable",0.82633488,0.00000016,,
"SPI","result",0.82648464,0.00084864,0x47,0xFE
"SPI","disable",0.82736768,0.00000016,,
"SPI","enable",0.82745168,0.00000016,,
"SPI","result",0.82761808,0.0008488,0x01,0xB8
"SPI","disable",0.82850256,0.00000016,,
"SPI","enable",0.82859312,0.00000016,,
"SPI","result",0.82875168,0.0008488,0x8B,0xB8
"SPI","disable",0.82963552,0.00000016,,
"SPI","enable",0.82972336,0.00000016,,
"SPI","result",0.82988528,0.00084864,0x87,0x74
"SPI","disable",0.83077424,0.00000016,,
"SPI","enable",0.83101328,0.00000016,,
"SPI","result",0.83113216,0.0008488,0x47,0xD2
"SPI","disable",0.83201008,0.00000016,,
"SPI","enable",0.83209392,0.00000016,,
"SPI","result",0.83226576,0.0008488,0x2D,0xB8
"SPI","disable",0.8331448,0.00000016,,
"SPI","enable",0.83323552,0.00000016,,
"SPI","result",0.83339936,0.00084864,0x07,0xB8
"SPI","disable",0.83501856,0.00000016,,
"SPI","enable",0.83510624,0.00000016,,
"SPI","result",0.83521296,0.0008488,0x87,0xF8
"SPI","disable",0.83610288,0.00000016,,
"SPI","enable",0.83622784,0.00000016,,
"SPI","result",0.83634656,0.0008488,0x47,0x12
"SPI","disable",0.83722448,0.00000016,,
"SPI","enable",0.83730832,0.00000016,,
"SPI","result",0.83748016,0.00084864,0xED,0xB8
"SPI","disable",0.8383688,0.00000016,,
"SPI","enable",0.83845936,0.00000016,,
"SPI","result",0.83861376,0.00084864,0x07,0xB8
"SPI","disable",0.83949232,0.00000016,,
"SPI","enable",0.83958,0.00000016,,
"SPI","result",0.8397472,0.0008488,0x87,0xF8
"SPI","disable",0.84063088,0.00000016,,
"SPI","enable",0.84075296,0.00000016,,
"SPI","result",0.8408808,0.0008488,0x47,0x82
"SPI","disable",0.84176768,0.00000016,,
"SPI","enable",0.84185168,0.00000016,,
"SPI","result",0.8420144,0.0008488,0x7D,0xB8
"SPI","disable",0.84359088,0.00000016,,
"SPI","enable",0.84368144,0.00000016,,
"SPI","result",0.84382816,0.00084864,0x07,0xB8
"SPI","disable",0.8447144,0.00000016,,
"SPI","enable",0.84480208,0.00000016,,
"SPI","result",0.8449616,0.0008488,0x87,0xF8
"SPI","disable",0.84585296,0.00000016,,
"SPI","enable",0.84597696,0.00000016,,
"SPI","result",0.8460952,0.0008488,0x47,0xEC
"SPI","disable",0.84698304,0.00000016,,
"SPI","enable",0.84706704,0.00000016,,
"SPI","result",0.8472288,0.0008488,0x13,0xB8
"SPI","disable",0.84811792,0.00000016,,
"SPI","enable",0.84820848,0.00000016,,
"SPI","result",0.8483624,0.00084864,0x07,0xB8
"SPI","disable",0.84924144,0.00000016,,
"SPI","enable",0.84932912,0.00000016,,
"SPI","result",0.849496,0.00084864,0x87,0xF8
"SPI","disable",0.85038,0.00000016,,
"SPI","enable",0.850504,0.00000016,,
"SPI","result",0.85062944,0.0008488,0x47,0x2C
"SPI","disable",0.85211184,0.00000016,,
"SPI","enable",0.85219584,0.00000016,,
"SPI","result",0.85232976,0.0008488,0xD3,0xB8
"SPI","disable",0.85321056,0.00000016,,
"SPI","enable",0.85330112,0.00000016,,
"SPI","result",0.85346336,0.0008488,0x07,0xB8
"SPI","disable",0.854352,0.00000016,,
"SPI","enable",0.85443984,0.00000016,,
"SPI","result",0.85459696,0.00084864,0x87,0xF8
"SPI","disable",0.85548224,0.00000016,,
"SPI","enable",0.95215648,0.00000016,,
"SPI","result",0.95231008,0.0008488,0x47,0xFE
"SPI","disable",0.95318928,0.00000016,,
"SPI","enable",0.95327328,0.00000016,,
"SPI","result",0.95344368,0.0008488,0x01,0xB8
"SPI","disable",0.95432416,0.00000016,,
"SPI","enable",0.95441472,0.00000016,,
"SPI","result",0.95457728,0.00084864,0x8B,0xB8
"SPI","disable",0.95585232,0.00000016,,
"SPI","enable",0.95594,0.00000016,,
"SPI","result",0.95605088,0.0008488,0x87,0x74
"SPI","disable",0.95693664,0.00000016,,
"SPI","enable",1.0536664,0.00000016,,
"SPI","result",1.05376416,0.0008488,0x47,0xFE
"SPI","disable",1.05464496,0.00000016,,
"SPI","enable",1.0547288,0.00000016,,
"SPI","result",1.05489776,0.0008488,0x01,0xB8
"SPI","disable",1.05577984,0.00000016,,
"SPI","enable",1.0558704,0.00000016,,
"SPI","result",1.05603136,0.00084864,0x8B,0xB8
"SPI","disable",1.058,0.00000016,,
"SPI","enable",1.05808768,0.00000016,,
"SPI","result",1.05818512,0.00084864,0x87,0x74
"SPI","disable",1.05906624,0.00000016,,
"SPI","enable",1.15577888,0.00000016,,
"SPI","result",1.1558984,0.0008488,0x47,0xFE
"SPI","disable",1.15677552,0.00000016,,
"SPI","enable",1.15685936,0.00000016,,
"SPI","result",1.157032,0.00084864,0x01,0xB8
"SPI","disable",1.1579104,0.00000016,,
"SPI","enable",1.15800096,0.00000016,,
"SPI","result",1.1581656,0.00084864,0x8B,0xB8
"SPI","disable",1.16013056,0.00000016,,
"SPI","enable",1.16021824,0.00000016,,
"SPI","result",1.16031936,0.00084864,0x87,0x74
"SPI","disable",1.1611968,0.00000016,,
"SPI","enable",1.2579208,0.00000016,,
"SPI","result",1.25803264,0.00084864,0x47,0xFE
"SPI","disable",1.25891744,0.00000016,,
"SPI","enable",1.25900144,0.00000016,,
"SPI","result",1.25916624,0.00084864,0x01,0xB8
"SPI","disable",1.26005232,0.00000016,,
"SPI","enable",1.26014288,0.00000016,,
"SPI","result",1.26029968,0.0008488,0x8B,0xB8
"SPI","disable",1.26118528,0.00000016,,
"SPI","enable",1.26127312,0.00000016,,
"SPI","result",1.26143328,0.0008488,0x87,0x74
"SPI","disable",1.262324,0.00000016,,
"SPI","enable",1.36010192,0.00000016,,
"SPI","result",1.36028016,0.0008488,0x47,0xFE
"SPI","disable",1.36117088,0.00000016,,
"SPI","enable",1.36125488,0.00000016,,
"SPI","result",1.36141376,0.00084864,0x01,0xB8
"SPI","disable",1.36228768,0.00000016,,
"SPI","enable",1.36237824,0.00000016,,
"SPI","result",1.36254736,0.00084864,0x8B,0xB8
"SPI","disable",1.36342064,0.00000016,,
