,index,name,type,start_time,duration,mosi,miso,~miso,decoded,meaning,CB1,CB1_bin,BED,BED_bin
0,1,SPI,result,0.05656736,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1,4,SPI,result,0.05770096,0.00084864,0x01,0xB8,0x47,ACK,,,,,
2,7,SPI,result,0.05883456,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
3,10,SPI,result,0.059968,0.0008488,0x87,0x74,0x8B,EOM,,,,,
4,13,SPI,result,0.15768144,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
5,16,SPI,result,0.15881488,0.0008488,0x01,0xB8,0x47,ACK,,,,,
6,19,SPI,result,0.15994848,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
7,22,SPI,result,0.16108208,0.00084864,0x87,0x74,0x8B,EOM,,,,,
8,25,SPI,result,0.25879536,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
9,28,SPI,result,0.25992896,0.00084864,0x01,0xB8,0x47,ACK,,,,,
10,31,SPI,result,0.26117584,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
11,34,SPI,result,0.26230944,0.00084864,0x87,0x74,0x8B,EOM,,,,,
12,37,SPI,result,0.36002256,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
13,40,SPI,result,0.36115616,0.00084864,0x01,0xB8,0x47,ACK,,,,,
14,43,SPI,result,0.36228976,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
15,46,SPI,result,0.3634232,0.0008488,0x87,0x74,0x8B,EOM,,,,,
16,49,SPI,result,0.46113664,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
17,52,SPI,result,0.46227008,0.0008488,0x01,0xB8,0x47,ACK,,,,,
18,55,SPI,result,0.46340368,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
19,58,SPI,result,0.46453728,0.00084864,0x87,0x74,0x8B,EOM,,,,,
20,61,SPI,result,0.56225056,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
21,64,SPI,result,0.56338416,0.00084864,0x01,0xB8,0x47,ACK,,,,,
22,67,SPI,result,0.56451776,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
23,70,SPI,result,0.5656512,0.0008488,0x87,0x74,0x8B,EOM,,,,,
24,73,SPI,result,0.66336464,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
25,76,SPI,result,0.66449808,0.0008488,0x01,0xB8,0x47,ACK,,,,,
26,79,SPI,result,0.66597184,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
27,82,SPI,result,0.66710528,0.0008488,0x87,0x74,0x8B,EOM,,,,,
28,85,SPI,result,0.76481872,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
29,88,SPI,result,0.76595216,0.0008488,0x01,0xB8,0x47,ACK,,,,,
30,91,SPI,result,0.76731248,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
31,94,SPI,result,0.76844608,0.00084864,0x87,0x74,0x8B,EOM,,,,,
32,97,SPI,result,0.82648464,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
33,100,SPI,result,0.82761808,0.0008488,0x01,0xB8,0x47,ACK,,,,,
34,103,SPI,result,0.82875168,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
35,106,SPI,result,0.82988528,0.00084864,0x87,0x74,0x8B,EOM,,,,,
36,109,SPI,result,0.83113216,0.0008488,0x47,0xD2,0x2D,BED,???,,,0x2D,00101101
37,112,SPI,result,0.83226576,0.0008488,0x2D,0xB8,0x47,ACK,,,,,
38,115,SPI,result,0.83339936,0.00084864,0x07,0xB8,0x47,CB1,confirm receipt,0x07,00000111,,
39,118,SPI,result,0.83521296,0.0008488,0x87,0xF8,0x07,EOM,,,,,
40,121,SPI,result,0.83634656,0.0008488,0x47,0x12,0xED,BED,???,,,0xED,11101101
41,124,SPI,result,0.83748016,0.00084864,0xED,0xB8,0x47,ACK,,,,,
42,127,SPI,result,0.83861376,0.00084864,0x07,0xB8,0x47,CB1,confirm receipt,0x07,00000111,,
43,130,SPI,result,0.8397472,0.0008488,0x87,0xF8,0x07,EOM,,,,,
44,133,SPI,result,0.8408808,0.0008488,0x47,0x82,0x7D,BED,???,,,0x7D,01111101
45,136,SPI,result,0.8420144,0.0008488,0x7D,0xB8,0x47,ACK,,,,,
46,139,SPI,result,0.84382816,0.00084864,0x07,0xB8,0x47,CB1,confirm receipt,0x07,00000111,,
47,142,SPI,result,0.8449616,0.0008488,0x87,0xF8,0x07,EOM,,,,,
48,145,SPI,result,0.8460952,0.0008488,0x47,0xEC,0x13,BED,???,,,0x13,00010011
49,148,SPI,result,0.8472288,0.0008488,0x13,0xB8,0x47,ACK,,,,,
50,151,SPI,result,0.8483624,0.00084864,0x07,0xB8,0x47,CB1,confirm receipt,0x07,00000111,,
51,154,SPI,result,0.849496,0.00084864,0x87,0xF8,0x07,EOM,,,,,
52,157,SPI,result,0.85062944,0.0008488,0x47,0x2C,0xD3,BED,???,,,0xD3,11010011
53,160,SPI,result,0.85232976,0.0008488,0xD3,0xB8,0x47,ACK,,,,,
54,163,SPI,result,0.85346336,0.0008488,0x07,0xB8,0x47,CB1,confirm receipt,0x07,00000111,,
55,166,SPI,result,0.85459696,0.00084864,0x87,0xF8,0x07,EOM,,,,,
56,169,SPI,result,0.95231008,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
57,172,SPI,result,0.95344368,0.0008488,0x01,0xB8,0x47,ACK,,,,,
58,175,SPI,result,0.95457728,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
59,178,SPI,result,0.95605088,0.0008488,0x87,0x74,0x8B,EOM,,,,,
60,181,SPI,result,1.05376416,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
61,184,SPI,result,1.05489776,0.0008488,0x01,0xB8,0x47,ACK,,,,,
62,187,SPI,result,1.05603136,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
63,190,SPI,result,1.05818512,0.00084864,0x87,0x74,0x8B,EOM,,,,,
64,193,SPI,result,1.1558984,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
65,196,SPI,result,1.157032,0.00084864,0x01,0xB8,0x47,ACK,,,,,
66,199,SPI,result,1.1581656,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
67,202,SPI,result,1.16031936,0.00084864,0x87,0x74,0x8B,EOM,,,,,
68,205,SPI,result,1.25803264,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
69,208,SPI,result,1.25916624,0.00084864,0x01,0xB8,0x47,ACK,,,,,
70,211,SPI,result,1.26029968,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
71,214,SPI,result,1.26143328,0.0008488,0x87,0x74,0x8B,EOM,,,,,
72,217,SPI,result,1.36028016,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
73,220,SPI,result,1.36141376,0.00084864,0x01,0xB8,0x47,ACK,,,,,
74,223,SPI,result,1.36254736,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
75,226,SPI,result,1.3636808,0.0008488,0x87,0x74,0x8B,EOM,,,,,
76,229,SPI,result,1.46139408,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
77,232,SPI,result,1.46252768,0.00084864,0x01,0xB8,0x47,ACK,,,,,
78,235,SPI,result,1.46366112,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
79,238,SPI,result,1.46479472,0.0008488,0x87,0x74,0x8B,EOM,,,,,
80,241,SPI,result,1.562508,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
81,244,SPI,result,1.56454848,0.00084864,0x01,0xB8,0x47,ACK,,,,,
82,247,SPI,result,1.56568208,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
83,250,SPI,result,1.56681552,0.0008488,0x87,0x74,0x8B,EOM,,,,,
84,253,SPI,result,1.59821536,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
85,256,SPI,result,1.59934896,0.00084864,0x01,0xB8,0x47,ACK,,,,,
86,259,SPI,result,1.6004824,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
87,262,SPI,result,1.601616,0.0008488,0x87,0x74,0x8B,EOM,,,,,
88,265,SPI,result,1.60286288,0.0008488,0x47,0x72,0x8D,BED,eol/direction change,,,0x8D,10001101
89,268,SPI,result,1.60399648,0.0008488,0x8D,0xB8,0x47,ACK,,,,,
90,271,SPI,result,1.60513008,0.0008488,0x07,0xB8,0x47,CB1,confirm receipt,0x07,00000111,,
91,274,SPI,result,1.60671712,0.00084864,0x87,0xF8,0x07,EOM,,,,,
92,277,SPI,result,1.70499712,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
93,280,SPI,result,1.70613072,0.00084864,0x01,0xB8,0x47,ACK,,,,,
94,283,SPI,result,1.70726432,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
95,286,SPI,result,1.70839776,0.0008488,0x87,0x74,0x8B,EOM,,,,,
96,289,SPI,result,1.80724464,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
97,292,SPI,result,1.80837824,0.0008488,0x01,0xB8,0x47,ACK,,,,,
98,295,SPI,result,1.80951184,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
99,298,SPI,result,1.81064544,0.00084864,0x87,0x74,0x8B,EOM,,,,,
100,301,SPI,result,1.90835856,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
101,304,SPI,result,1.90949216,0.0008488,0x01,0xB8,0x47,ACK,,,,,
102,307,SPI,result,1.91062576,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
103,310,SPI,result,1.91175936,0.00084864,0x87,0x74,0x8B,EOM,,,,,
104,313,SPI,result,2.00947248,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
105,316,SPI,result,2.01117296,0.00084864,0x01,0xB8,0x47,ACK,,,,,
106,319,SPI,result,2.0123064,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
107,322,SPI,result,2.01344,0.0008488,0x87,0x74,0x8B,EOM,,,,,
108,325,SPI,result,2.1121736,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
109,328,SPI,result,2.11330704,0.0008488,0x01,0xB8,0x47,ACK,,,,,
110,331,SPI,result,2.11444064,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
111,334,SPI,result,2.11557424,0.00084864,0x87,0x74,0x8B,EOM,,,,,
112,337,SPI,result,2.21328752,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
113,340,SPI,result,2.21442112,0.00084864,0x01,0xB8,0x47,ACK,,,,,
114,343,SPI,result,2.21555472,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
115,346,SPI,result,2.21668816,0.0008488,0x87,0x74,0x8B,EOM,,,,,
116,349,SPI,result,2.3144016,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
117,352,SPI,result,2.31553504,0.0008488,0x01,0xB8,0x47,ACK,,,,,
