name,type,start_time,duration,"mosi","miso"
"SPI","enable",0.01774512,0.00000016,,
"SPI","result",0.01790448,0.00084832,0x47,0xFE
"SPI","disable",0.01878944,0.00000016,,
"SPI","enable",0.01888,0.00000016,,
"SPI","result",0.01903824,0.00084832,0x01,0xB8
"SPI","disable",0.01992448,0.00000016,,
"SPI","enable",0.02002176,0.00000016,,
"SPI","result",0.020172,0.00084832,0x8B,0xB8
"SPI","disable",0.021048,0.00000016,,
"SPI","enable",0.0211424,0.00000016,,
"SPI","result",0.02130576,0.00084832,0x87,0x74
"SPI","disable",0.02218688,0.00000016,,
"SPI","enable",0.11886896,0.00000016,,
"SPI","result",0.11903568,0.00084848,0x47,0xFE
"SPI","disable",0.11991344,0.00000016,,
"SPI","enable",0.12000384,0.00000016,,
"SPI","result",0.12016944,0.00084848,0x01,0xB8
"SPI","disable",0.12104832,0.00000016,,
"SPI","enable",0.1211456,0.00000016,,
"SPI","result",0.1213032,0.00084848,0x8B,0xB8
"SPI","disable",0.12219008,0.00000016,,
"SPI","enable",0.12228432,0.00000016,,
"SPI","result",0.12243696,0.00084848,0x87,0x74
"SPI","disable",0.12331072,0.00000016,,
"SPI","enable",0.21999296,0.00000016,,
"SPI","result",0.2201672,0.00084848,0x47,0xFE
"SPI","disable",0.22105536,0.00000016,,
"SPI","enable",0.22114592,0.00000016,,
"SPI","result",0.22130096,0.00084848,0x01,0xB8
"SPI","disable",0.2221904,0.00000016,,
"SPI","enable",0.22228752,0.00000016,,
"SPI","result",0.22243472,0.00084848,0x8B,0xB8
"SPI","disable",0.22331392,0.00000016,,
"SPI","enable",0.22340832,0.00000016,,
"SPI","result",0.22356848,0.00084848,0x87,0x74
"SPI","disable",0.2244528,0.00000016,,
"SPI","enable",0.32113488,0.00000016,,
"SPI","result",0.32129872,0.00084832,0x47,0xFE
"SPI","disable",0.32217936,0.00000016,,
"SPI","enable",0.32226976,0.00000016,,
"SPI","result",0.32243248,0.00084832,0x01,0xB8
"SPI","disable",0.32331424,0.00000016,,
"SPI","enable",0.32341136,0.00000016,,
"SPI","result",0.32356624,0.00084832,0x8B,0xB8
"SPI","disable",0.324456,0.00000016,,
"SPI","enable",0.32455024,0.00000016,,
"SPI","result",0.3247,0.00084832,0x87,0x74
"SPI","disable",0.32557664,0.00000016,,
"SPI","enable",0.42225872,0.00000016,,
"SPI","result",0.42243024,0.00084832,0x47,0xFE
"SPI","disable",0.4233032,0.00000016,,
"SPI","enable",0.42339376,0.00000016,,
"SPI","result",0.423564,0.00084832,0x01,0xB8
"SPI","disable",0.42443824,0.00000016,,
"SPI","enable",0.42453536,0.00000016,,
"SPI","result",0.42469776,0.00084832,0x8B,0xB8
"SPI","disable",0.42557984,0.00000016,,
"SPI","enable",0.42567408,0.00000016,,
"SPI","result",0.42583152,0.00084832,0x87,0x74
"SPI","disable",0.42671872,0.00000016,,
"SPI","enable",0.5234008,0.00000016,,
"SPI","result",0.5235616,0.00084848,0x47,0xFE
"SPI","disable",0.52444512,0.00000016,,
"SPI","enable",0.52453568,0.00000016,,
"SPI","result",0.52469536,0.00084848,0x01,0xB8
"SPI","disable",0.52558016,0.00000016,,
"SPI","enable",0.52567728,0.00000016,,
"SPI","result",0.52582912,0.00084848,0x8B,0xB8
"SPI","disable",0.52670368,0.00000016,,
"SPI","enable",0.52679808,0.00000016,,
"SPI","result",0.52696288,0.00084848,0x87,0x74
"SPI","disable",0.52784256,0.00000016,,
"SPI","enable",0.62452464,0.00000016,,
"SPI","result",0.62469296,0.00084848,0x47,0xFE
"SPI","disable",0.62556912,0.00000016,,
"SPI","enable",0.62565952,0.00000016,,
"SPI","result",0.62582672,0.00084848,0x01,0xB8
"SPI","disable",0.626704,0.00000016,,
"SPI","enable",0.62681936,0.00000016,,
"SPI","result",0.62696048,0.00084848,0x8B,0xB8
"SPI","disable",0.62784576,0.00000016,,
"SPI","enable",0.62794,0.00000016,,
"SPI","result",0.62809424,0.00084848,0x87,0x74
"SPI","disable",0.6289664,0.00000016,,
"SPI","enable",0.72564848,0.00000016,,
"SPI","result",0.72582448,0.00084832,0x47,0xFE
"SPI","disable",0.72671104,0.00000016,,
"SPI","enable",0.7268016,0.00000016,,
"SPI","result",0.72695824,0.00084832,0x01,0xB8
"SPI","disable",0.72784608,0.00000016,,
"SPI","enable",0.7279432,0.00000016,,
"SPI","result",0.728092,0.00084832,0x8B,0xB8
"SPI","disable",0.7289696,0.00000016,,
"SPI","enable",0.729064,0.00000016,,
"SPI","result",0.72922576,0.00084832,0x87,0x74
"SPI","disable",0.73010848,0.00000016,,
"SPI","enable",0.82679056,0.00000016,,
"SPI","result",0.826956,0.00084832,0x47,0xFE
"SPI","disable",0.82783488,0.00000016,,
"SPI","enable",0.82792544,0.00000016,,
"SPI","result",0.82808976,0.00084832,0x01,0xB8
"SPI","disable",0.82896992,0.00000016,,
"SPI","enable",0.82906704,0.00000016,,
"SPI","result",0.82922352,0.00084832,0x8B,0xB8
"SPI","disable",0.83011152,0.00000016,,
"SPI","enable",0.83020592,0.00000016,,
"SPI","result",0.83035728,0.00084832,0x87,0x74
"SPI","disable",0.83123232,0.00000016,,
"SPI","enable",0.9279144,0.00000016,,
"SPI","result",0.92808736,0.00084848,0x47,0xFE
"SPI","disable",0.92897696,0.00000016,,
"SPI","enable",0.92906736,0.00000016,,
"SPI","result",0.92922112,0.00084848,0x01,0xB8
"SPI","disable",0.93009376,0.00000016,,
"SPI","enable",0.93019104,0.00000016,,
"SPI","result",0.93035488,0.00084848,0x8B,0xB8
"SPI","disable",0.93123552,0.00000016,,
"SPI","enable",0.93132976,0.00000016,,
"SPI","result",0.93148864,0.00084848,0x87,0x74
"SPI","disable",0.93237424,0.00000016,,
"SPI","enable",1.02905648,0.00000016,,
"SPI","result",1.02921888,0.00084848,0x47,0xFE
"SPI","disable",1.0301008,0.00000016,,
"SPI","enable",1.03019136,0.00000016,,
"SPI","result",1.03035264,0.00084848,0x01,0xB8
"SPI","disable",1.03123584,0.00000016,,
"SPI","enable",1.03133296,0.00000016,,
"SPI","result",1.0314864,0.00084848,0x8B,0xB8
"SPI","disable",1.03235936,0.00000016,,
"SPI","enable",1.03245376,0.00000016,,
"SPI","result",1.03262016,0.00084848,0x87,0x74
"SPI","disable",1.03349824,0.00000016,,
"SPI","enable",1.13018032,0.00000016,,
"SPI","result",1.1303504,0.00084832,0x47,0xFE
"SPI","disable",1.13122464,0.00000016,,
"SPI","enable",1.1313152,0.00000016,,
"SPI","result",1.131484,0.00084848,0x01,0xB8
"SPI","disable",1.13235968,0.00000016,,
"SPI","enable",1.1324568,0.00000016,,
"SPI","result",1.13261776,0.00084848,0x8B,0xB8
"SPI","disable",1.13350128,0.00000016,,
"SPI","enable",1.13359568,0.00000016,,
"SPI","result",1.13375152,0.00084848,0x87,0x74
"SPI","disable",1.13464016,0.00000016,,
"SPI","enable",1.23132224,0.00000016,,
"SPI","result",1.23148176,0.00084832,0x47,0xFE
"SPI","disable",1.23236672,0.00000016,,
"SPI","enable",1.23245712,0.00000016,,
"SPI","result",1.23261552,0.00084832,0x01,0xB8
"SPI","disable",1.2335016,0.00000016,,
"SPI","enable",1.23359888,0.00000016,,
"SPI","result",1.23374928,0.00084832,0x8B,0xB8
"SPI","disable",1.23462528,0.00000016,,
"SPI","enable",1.23471952,0.00000016,,
"SPI","result",1.23488304,0.00084832,0x87,0x74
"SPI","disable",1.235764,0.00000016,,
"SPI","enable",1.33244608,0.00000016,,
"SPI","result",1.33261312,0.00084848,0x47,0xFE
"SPI","disable",1.33349056,0.00000016,,
"SPI","enable",1.33358112,0.00000016,,
"SPI","result",1.33374688,0.00084848,0x01,0xB8
"SPI","disable",1.3346256,0.00000016,,
"SPI","enable",1.33472272,0.00000016,,
"SPI","result",1.33488064,0.00084848,0x8B,0xB8
"SPI","disable",1.3357672,0.00000016,,
"SPI","enable",1.33586144,0.00000016,,
"SPI","result",1.3360144,0.00084848,0x87,0x74
"SPI","disable",1.33688784,0.00000016,,
"SPI","enable",1.43362336,0.00000016,,
"SPI","result",1.43374464,0.00084848,0x47,0xFE
"SPI","disable",1.43463152,0.00000016,,
"SPI","enable",1.43472208,0.00000016,,
"SPI","result",1.4348784,0.00084848,0x01,0xB8
"SPI","disable",1.43576656,0.00000016,,
"SPI","enable",1.43586368,0.00000016,,
"SPI","result",1.4361256,0.00084832,0x8B,0xB8
"SPI","disable",1.43699872,0.00000016,,
"SPI","enable",1.43709296,0.00000016,,
"SPI","result",1.43725936,0.00084832,0x87,0x74
"SPI","disable",1.43813744,0.00000016,,
"SPI","enable",1.5348272,0.00000016,,
"SPI","result",1.53498944,0.00084848,0x47,0xFE
"SPI","disable",1.53587168,0.00000016,,
"SPI","enable",1.53596208,0.00000016,,
"SPI","result",1.5361232,0.00084848,0x01,0xB8
"SPI","disable",1.53700656,0.00000016,,
"SPI","enable",1.53710384,0.00000016,,
"SPI","result",1.53725696,0.00084848,0x8B,0xB8
"SPI","disable",1.53813024,0.00000016,,
"SPI","enable",1.53822448,0.00000016,,
"SPI","result",1.53839072,0.00084848,0x87,0x74
"SPI","disable",1.53926896,0.00000016,,
"SPI","enable",1.60588608,0.00000016,,
"SPI","result",1.60607632,0.00084832,0x47,0xFE
"SPI","disable",1.60694864,0.00000016,,
"SPI","enable",1.6070392,0.00000016,,
"SPI","result",1.60721008,0.00084832,0x01,0xB8
"SPI","disable",1.60808368,0.00000016,,
"SPI","enable",1.6081808,0.00000016,,
"SPI","result",1.60834384,0.00084832,0x8B,0xB8
"SPI","disable",1.60922528,0.00000016,,
"SPI","enable",1.60931968,0.00000016,,
"SPI","result",1.6094776,0.00084832,0x87,0x74
"SPI","disable",1.61036416,0.00000016,,
"SPI","enable",1.61060992,0.00000016,,
"SPI","result",1.61072464,0.00084848,0x47,0xF2
"SPI","disable",1.6116,0.00000016,,
"SPI","enable",1.61169056,0.00000016,,
"SPI","result",1.6118584,0.00084848,0x0D,0xB8
"SPI","disable",1.61273504,0.00000016,,
"SPI","enable",1.61283216,0.00000016,,
"SPI","result",1.61299216,0.00084848,0x07,0xB8
"SPI","disable",1.61387664,0.00000016,,
"SPI","enable",1.61397104,0.00000016,,
"SPI","result",1.61412592,0.00084848,0x87,0xF8
"SPI","disable",1.61501552,0.00000016,,
"SPI","enable",1.61514496,0.00000016,,
"SPI","result",1.61525968,0.00084848,0x47,0xFE
"SPI","disable",1.6161448,0.00000016,,
"SPI","enable",1.6162352,0.00000016,,
"SPI","result",1.61639344,0.00084848,0x01,0xB8
"SPI","disable",1.61727984,0.00000016,,
"SPI","enable",1.61737696,0.00000016,,
"SPI","result",1.6175272,0.00084848,0x6B,0xB8
"SPI","disable",1.61840336,0.00000016,,
"SPI","enable",1.6184976,0.00000016,,
"SPI","result",1.61866096,0.00084848,0x87,0x94
"SPI","disable",1.61954208,0.00000016,,
"SPI","enable",1.61979744,0.00000016,,
"SPI","result",1.61990816,0.00084848,0x47,0xFE
"SPI","disable",1.62078752,0.00000016,,
"SPI","enable",1.62087808,0.00000016,,
"SPI","result",1.62104192,0.00084848,0x01,0xB8
"SPI","disable",1.62192256,0.00000016,,
"SPI","enable",1.62201968,0.00000016,,
"SPI","result",1.62217568,0.00084848,0x6B,0xB8
"SPI","disable",1.62306416,0.00000016,,
"SPI","enable",1.62315856,0.00000016,,
"SPI","result",1.62330944,0.00084848,0x87,0x94
"SPI","disable",1.62489344,0.00000016,,
"SPI","enable",1.62514864,0.00000016,,
"SPI","result",1.6252368,0.00084848,0x47,0xFE
"SPI","disable",1.62612064,0.00000016,,
"SPI","enable",1.6262112,0.00000016,,
"SPI","result",1.62637056,0.00084848,0x01,0xB8
"SPI","disable",1.62725568,0.00000016,,
"SPI","enable",1.6273528,0.00000016,,
"SPI","result",1.62750432,0.00084848,0x6B,0xB8
"SPI","disable",1.62837936,0.00000016,,
"SPI","enable",1.6284736,0.00000016,,
"SPI","result",1.62863808,0.00084848,0x87,0x94
"SPI","disable",1.62951808,0.00000016,,
"SPI","enable",1.62977328,0.00000016,,
"SPI","result",1.62988528,0.00084832,0x47,0xFE
"SPI","disable",1.63076352,0.00000016,,
"SPI","enable",1.63085392,0.00000016,,
"SPI","result",1.63101904,0.00084832,0x01,0xB8
